user_id,early_avg_recall,early_avg_delta,early_std_delta,early_avg_difficulty
u:-DF,0.975,0,0,0.947376795
u:-R6,0.880952381,0,0,0.908163265
u:-Re,0.878787879,0,0,0.787289403
u:-TV,1,3511.35,15587.81696,0.877755456
u:-_-,0.805555556,0,0,0.966666667
u:-_D,0.5,0,0,0.929406308
u:-b,0.975,112.15,407.8462397,0.956928904
u:-cv,0.864285714,28.42857143,106.3699743,0.932803629
u:-fk,0.558333333,7.4,24.64356434,0.649411328
u:-k,0.9,29.6,132.3752243,0.875750878
u:-oB,0.85,0,0,0.877846639
u:-oe,0.87745098,10.05882353,41.47359188,0.891863269
u:-t7,0.533333333,6.5,29.06888371,0.625862324
u:-wa,0.909090909,0,0,0.942129083
u:04s,0.875,0,0,0.7635205
u:0Bk,1,71.66666667,124.1303079,1
u:0Ld,0.8,0,0,0.923192641
u:0Nx,1,0,0,0.934047619
u:0Pz,0.9375,0,0,0.87836039
u:0V-,1,399.3333333,349.1480106,1
u:0b,0.81,0,0,0.728712121
u:0co,1,0,0,0.916666667
u:0k7,0.90538073,74,245.4302345,0.798989899
u:0lm,0.975,0,0,0.935335498
u:0ty,0.920833333,0,0,0.860060691
u:0vb,0.5,0,,1
u:0z7,0.941666667,1247.8,5580.331245,0.847283138
u:16a,1,15.75,31.5,0.733333333
u:1Qq,0.860833333,14.9,66.63482573,0.937164891
u:1n3,0.959090909,0,0,0.96969697
u:1oB,0.958333333,0,0,0.900995671
u:2-U,1,12.35,40.11467116,0.935144816
u:21Z,0.908333333,9.55,42.70889837,0.874530123
u:24a,0.775,73.45,227.0407974,0.856041667
u:28D,0.9,23.4,104.6479813,0.851030087
u:2DK,0.725,0,0,0.888663004
u:2Ko,0.9075,13.95,62.38629657,0.878555868
u:2Nd,0.85,44.5,199.01005,0.983333333
u:2U_,0.775,7.85,35.10626725,0.941045101
u:2Vn,0.822916667,0,0,0.9140625
u:2_c,1,968.8,2166.302657,0.931669164
u:2aN,0.883333333,51,114.0394669,1
u:2l6,0.833333333,0,0,0.896031746
u:2lU,0.761904762,0,0,1
u:2m9,0.475,590.9,2629.902498,0.767674849
u:2mx,0.95,0,0,0.938504274
u:2oa,1,0,0,0.928468661
u:2vP,0.625,136.2,609.1049171,0.531502524
u:3Cy,0.8,0,,0.666666667
u:3EH,0.819047619,1200,1593.496909,0.875
u:3ID,0.45,23.85,70.32426773,0.694372294
u:3PY,0.933333333,3613.95,11921.61176,0.910416667
u:3Y_,0.858333333,0,0,0.884318182
u:3c8,0.95,0,0,0.859554231
u:3fg,0.925833333,42.45,133.2431395,0.911934722
u:3mt,0.833333333,0,,0.5
u:3xd,0.875,0,0,0.885418895
u:40E,0.952380952,0,0,0.935515873
u:44m,0.818181818,0,0,0.843434343
u:4Ag,0.941666667,10.9,48.74628191,0.79542003
u:4Bd,0.944444445,37.41666667,129.6151354,0.844444444
u:4CF,0.80952381,0,0,0.845238095
u:4DH,0.858333333,24.8,110.9089717,0.926635543
u:4Fw,0.857407407,0,0,0.868650794
u:4Ii,0.958333333,0,0,0.932946161
u:4LQ,1,0,,0.666666667
u:4Ly,1,0,,1
u:4bj,0.9,0,0,0.896681541
u:4f9,0.663333333,22.15,99.0578114,0.794804065
u:5Bl,0.9,473.9,1335.072988,0.867638889
u:5eo,1,0,,1
u:5nQ,0.72,25.4,79.04722106,0.826590953
u:5nU,0.95,33.85,104.2094424,0.908928571
u:5pM,0.833333333,336,475.175757,1
u:5wi,0.8,7.25,32.42298567,0.781438492
u:62Q,0.89,13.7,61.26826258,0.891547619
u:6NL,0.9,7.8,34.88266045,0.99
u:6OE,0.866666667,0,0,0.913468013
u:6UK,1,0,,0.928571429
u:6YP,0.8,2786.35,12425.67483,0.807661782
u:6_4,1,0,0,0.942625622
u:6h_,1,0,0,0.985233675
u:6i2,0.95,0,0,0.95952381
u:6l1,0.75,226.6666667,392.598183,1
u:6v6,0.962962963,0,0,0.888888889
u:6xf,0.875,0,0,0.806199483
u:75m,0.81122449,17.78571429,66.54804924,0.869813037
u:77x,0.384615385,0,0,0.915755612
u:7Kr,0.55,20.25,63.72628558,0.931913753
u:7ec,0.8875,51.65,230.9858221,0.939428123
